代码,名称,TTM股息率%,真实股息率%,估值区间,市赚率PR,行业,可持续性,ROE%,总市值(亿),数据来源
000915,华特达因,9.68,9.68,合理偏低,0.71,医药生物-化学制药-化学制剂,偏弱,18.29,60.5,mootdx / 腾讯批量
000651,格力电器,7.48,7.48,低估,0.38,家电-白色家电-白色家电,可持续,20.3,2246.16,akshare fhps_detail_em / 腾讯批量
600803,新奥股份,6.59,6.59,合理偏低,0.65,公用事业-燃气-燃气,可持续,18.99,535.47,mootdx / 腾讯批量
601919,中远海控,6.48,6.48,合理偏低,0.71,交通运输-港口航运-航运,偏弱,13.29,2355.87,mootdx / 腾讯批量
603565,中谷物流,6.45,6.45,合理偏低,0.59,交通运输-港口航运-航运,偏弱,18.7,218.2,mootdx / 腾讯批量
600741,华域汽车,6.25,6.25,合理偏低,0.66,交运设备-汽车-汽车零部件,可持续,10.73,504.44,mootdx / 腾讯批量
600015,华夏银行,6.24,6.24,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,6.87,1071.07,mootdx / 腾讯批量
002884,凌霄泵业,6.21,6.21,合理偏低,0.66,机械设备-通用设备-其他通用机械,偏弱,19.46,57.62,mootdx / 腾讯批量
600039,四川路桥,5.9,5.9,合理偏低,0.75,建筑-建筑施工-专业工程,偏弱,13.82,725.21,mootdx / 腾讯批量
601166,兴业银行,5.81,5.81,合理偏低,0.58,金融-银行-股份制与城商行,偏弱,8.59,3881.27,mootdx / 腾讯批量
601818,光大银行,5.74,5.74,合理偏低,0.7,金融-银行-股份制与城商行,偏弱,6.84,1802.11,mootdx / 腾讯批量
600011,华能国际,5.72,5.72,合理偏低,0.78,公用事业-电力-火电,可持续,10.11,1097.3,mootdx / 腾讯批量
603365,水星家纺,5.66,5.66,合理偏低,0.83,纺织服装-服装家纺-家纺,偏弱,13.31,46.41,mootdx / 腾讯批量
601229,上海银行,5.65,5.65,合理偏低,0.57,金融-银行-股份制与城商行,偏弱,9.44,1308.65,mootdx / 腾讯批量
603816,顾家家居,5.63,5.63,合理偏低,0.64,轻工制造-家具-家具制造,可持续,17.68,201.34,mootdx / 腾讯批量
601169,北京银行,5.55,5.55,合理偏低,0.97,金融-银行-股份制与城商行,偏弱,5.32,1059.26,mootdx / 腾讯批量
002807,江阴银行,5.53,5.53,低估,0.49,金融-银行-股份制与城商行,可持续,10.71,107.76,mootdx / 腾讯批量
000719,中原传媒,5.44,5.44,合理偏低,0.78,文化传媒-平面媒体-平面媒体,可持续,11.58,124.11,mootdx / 腾讯批量
600873,梅花生物,5.44,5.44,低估,0.46,农林牧渔-畜牧业-饲料,可持续,20.07,220.97,mootdx / 腾讯批量
601997,贵阳银行,5.37,5.37,低估,0.5,金融-银行-股份制与城商行,可持续,7.81,204.38,mootdx / 腾讯批量
000001,平安银行,5.33,5.33,合理偏低,0.55,金融-银行-股份制与城商行,偏弱,9.15,2171.52,mootdx / 腾讯批量
600887,伊利股份,5.27,5.27,合理偏低,0.65,食品饮料-食品-乳制品,可持续,21.16,1657.88,mootdx / 腾讯批量
600461,洪城环境,5.25,5.25,合理偏低,0.78,公用事业-水务-水务,可持续,12.44,114.29,mootdx / 腾讯批量
600987,航民股份,5.25,5.25,合理偏低,0.82,纺织服装-纺织-印染,可持续,11.25,68.09,mootdx / 腾讯批量
601825,沪农商行,5.25,5.25,合理偏低,0.67,金融-银行-股份制与城商行,可持续,9.63,799.52,mootdx / 腾讯批量
002555,三七互娱,5.2,5.2,合理偏低,0.63,互联网-互联网服务-游戏娱乐,偏弱,21.43,437.8,mootdx / 腾讯批量
600036,招商银行,5.2,5.2,合理偏低,0.55,金融-银行-股份制与城商行,可持续,11.8,9785.3,mootdx / 腾讯批量
000333,美的集团,5.15,5.15,合理偏低,0.73,家电-白色家电-白色家电,可持续,19.7,6369.59,mootdx / 腾讯批量
601838,成都银行,5.15,5.15,低估,0.42,金融-银行-股份制与城商行,可持续,13.37,757.83,mootdx / 腾讯批量
601811,新华文轩,5.14,5.14,合理偏低,0.89,文化传媒-教育-教育信息化服务,可持续,10.48,146.46,mootdx / 腾讯批量
603444,吉比特,5.12,5.12,低估,0.41,互联网-互联网服务-游戏娱乐,偏弱,33.27,275.68,mootdx / 腾讯批量
601998,中信银行,5.11,5.11,合理偏低,0.68,金融-银行-股份制与城商行,偏弱,8.52,4151.13,mootdx / 腾讯批量
002839,张家港行,5.06,5.06,合理偏低,0.55,金融-银行-股份制与城商行,可持续,9.64,106.33,mootdx / 腾讯批量
601318,中国平安,5.06,5.06,合理偏低,0.54,金融-非银行金融-保险,偏弱,13.47,9665.86,mootdx / 腾讯批量
002318,久立特材,5.01,5.01,合理偏低,0.68,钢铁-钢铁-特钢,可持续,19.04,195.14,mootdx / 腾讯批量
